# UniDic 回文ペアリスト
# 総ペア数: 742
# 回文: 189語
# 異なる単語のペア: 553組

## 異なる単語の回文ペア

### 4文字 (8組)
うすいた ↔ たいすう
くらうど ↔ どうらく
くろうと ↔ とうろく
くろくも ↔ もくろく
つじつま ↔ まつじつ
つぶつぶ ↔ ぶつぶつ
どっきり ↔ りきっど
なみなみ ↔ みなみな

### 3文字 (235組)
あいし ↔ しいあ
あうと ↔ とうあ
あにま ↔ まにあ
いえき ↔ きえい
いえじ ↔ じえい
いかく ↔ くかい
いかだ ↔ だかい
いかり ↔ りかい
いがく ↔ くがい
いがた ↔ たがい
いくさ ↔ さくい
いけず ↔ ずけい
いげた ↔ たげい
いさき ↔ きさい
いさり ↔ りさい
いせき ↔ きせい
いたく ↔ くたい
いたけ ↔ けたい
いたご ↔ ごたい
いたち ↔ ちたい
いたび ↔ びたい
いたや ↔ やたい
いたり ↔ りたい
いつじ ↔ じつい
いつつ ↔ つつい
いてき ↔ きてい
いなか ↔ かない
いなき ↔ きない
いはく ↔ くはい
いはち ↔ ちはい
いへき ↔ きへい
いやみ ↔ みやい
いらか ↔ からい
いらく ↔ くらい
いりこ ↔ こりい
いれば ↔ ばれい
いわく ↔ くわい
いんか ↔ かんい
いんが ↔ がんい
いんく ↔ くんい
いんぐ ↔ ぐんい
いんこ ↔ こんい
いんし ↔ しんい
いんじ ↔ じんい
いんぶ ↔ ぶんい
うごき ↔ きごう
うすじ ↔ じすう
うつし ↔ しつう
うとく ↔ くとう
うのみ ↔ みのう
うよく ↔ くよう
うろこ ↔ ころう
うんか ↔ かんう
えいか ↔ かいえ
えいこ ↔ こいえ
えきか ↔ かきえ
えびね ↔ ねびえ
えまき ↔ きまえ
おうこ ↔ こうお
おかか ↔ かかお
かいが ↔ がいか
かいさ ↔ さいか
かいし ↔ しいか
かいて ↔ ていか
かいは ↔ はいか
かいば ↔ ばいか
かきて ↔ てきか
かくさ ↔ さくか
かじめ ↔ めじか
かっき ↔ きっか
かっけ ↔ けっか
かっこ ↔ こっか
かって ↔ てっか
かっと ↔ とっか
かんが ↔ がんか
かんき ↔ きんか
かんぎ ↔ ぎんか
かんこ ↔ こんか
かんさ ↔ さんか
かんし ↔ しんか
かんじ ↔ じんか
かんだ ↔ だんか
かんち ↔ ちんか
かんて ↔ てんか
かんど ↔ どんか
かんな ↔ なんか
かんば ↔ ばんか
かんぶ ↔ ぶんか
かんみ ↔ みんか
かんめ ↔ めんか
かんり ↔ りんか
がくは ↔ はくが
がくふ ↔ ふくが
がんぎ ↔ ぎんが
がんじ ↔ じんが
がんま ↔ まんが
きいつ ↔ ついき
きいと ↔ といき
ききて ↔ てきき
ききめ ↔ めきき
きさく ↔ くさき
きさま ↔ まさき
きちく ↔ くちき
きっく ↔ くっき
きっさ ↔ さっき
きって ↔ てっき
きっと ↔ とっき
きつね ↔ ねつき
きぬけ ↔ けぬき
きねま ↔ まねき
きばつ ↔ つばき
きみつ ↔ つみき
きょぎ ↔ ぎょき
きょし ↔ しょき
きれじ ↔ じれき
きろく ↔ くろき
きんく ↔ くんき
きんこ ↔ こんき
きんし ↔ しんき
きんば ↔ ばんき
きんり ↔ りんき
ぎんし ↔ しんぎ
くいけ ↔ けいく
くうそ ↔ そうく
くうゆ ↔ ゆうく
くうろ ↔ ろうく
くすり ↔ りすく
くずし ↔ しずく
くちび ↔ びちく
くっし ↔ しっく
くらげ ↔ げらく
くらぶ ↔ ぶらく
くるま ↔ まるく
くるみ ↔ みるく
くろず ↔ ずろく
くんこ ↔ こんく
くんし ↔ しんく
くんじ ↔ じんく
ぐっど ↔ どっぐ
ぐんし ↔ しんぐ
ぐんて ↔ てんぐ
ぐんば ↔ ばんぐ
ぐんぶ ↔ ぶんぐ
ぐんり ↔ りんぐ
けっし ↔ しっけ
けむし ↔ しむけ
けんさ ↔ さんけ
けんぶ ↔ ぶんけ
げんご ↔ ごんげ
げんせ ↔ せんげ
こうそ ↔ そうこ
こうど ↔ どうこ
こうほ ↔ ほうこ
こうろ ↔ ろうこ
こころ ↔ ろここ
こばた ↔ たばこ
こんて ↔ てんこ
こんど ↔ どんこ
こんぶ ↔ ぶんこ
ごうそ ↔ そうご
さいた ↔ たいさ
さくら ↔ らくさ
さんし ↔ しんさ
さんた ↔ たんさ
さんて ↔ てんさ
ざんち ↔ ちんざ
しいす ↔ すいし
しいつ ↔ ついし
しいと ↔ といし
しいな ↔ ないし
しいれ ↔ れいし
しきり ↔ りきし
しくつ ↔ つくし
しこみ ↔ みこし
しった ↔ たっし
しぶつ ↔ つぶし
しまだ ↔ だまし
しゅじ ↔ じゅし
しょじ ↔ じょし
しらは ↔ はらし
しりつ ↔ つりし
しんじ ↔ じんし
しんそ ↔ そんし
しんち ↔ ちんし
しんと ↔ とんし
しんは ↔ はんし
しんば ↔ ばんし
しんぶ ↔ ぶんし
しんめ ↔ めんし
しんら ↔ らんし
しんり ↔ りんし
しんろ ↔ ろんし
じんち ↔ ちんじ
じんば ↔ ばんじ
じんま ↔ まんじ
すいり ↔ りいす
そいつ ↔ ついそ
そうほ ↔ ほうそ
そくど ↔ どくそ
たいと ↔ といた
たいは ↔ はいた
たいや ↔ やいた
たかね ↔ ねかた
たかは ↔ はかた
たかみ ↔ みかた
たんび ↔ びんた
ちうみ ↔ みうち
ちんぶ ↔ ぶんち
ちんみ ↔ みんち
つうる ↔ るうつ
つくり ↔ りくつ
てきひ ↔ ひきて
とうど ↔ どうと
とうゆ ↔ ゆうと
とうよ ↔ ようと
とうろ ↔ ろうと
とっぱ ↔ ぱっと
とっぴ ↔ ぴっと
とっぷ ↔ ぷっと
とっぽ ↔ ぽっと
とまや ↔ やまと
どくは ↔ はくど
どくふ ↔ ふくど
にきび ↔ びきに
ねんり ↔ りんね
はくば ↔ ばくは
ひいる ↔ るいひ
ひるま ↔ まるひ
ふいり ↔ りいふ
ふうる ↔ るうふ
ふきや ↔ やきふ
ぶんり ↔ りんぶ
ぷうる ↔ るうぷ
みきり ↔ りきみ
むうる ↔ るうむ

### 2文字 (310組)
あお ↔ おあ
あけ ↔ けあ
あさ ↔ さあ
あど ↔ どあ
あば ↔ ばあ
あゆ ↔ ゆあ
あり ↔ りあ
あれ ↔ れあ
いえ ↔ えい
いか ↔ かい
いが ↔ がい
いき ↔ きい
いく ↔ くい
いけ ↔ けい
いこ ↔ こい
いご ↔ ごい
いし ↔ しい
いじ ↔ じい
いす ↔ すい
いず ↔ ずい
いせ ↔ せい
いそ ↔ そい
いた ↔ たい
いち ↔ ちい
いて ↔ てい
いと ↔ とい
いど ↔ どい
いぬ ↔ ぬい
いば ↔ ばい
いふ ↔ ふい
いぶ ↔ ぶい
いま ↔ まい
いむ ↔ むい
いれ ↔ れい
うか ↔ かう
うき ↔ きう
うけ ↔ けう
うご ↔ ごう
うじ ↔ じう
うす ↔ すう
うそ ↔ そう
うた ↔ たう
うつ ↔ つう
うど ↔ どう
うぬ ↔ ぬう
うば ↔ ばう
うよ ↔ よう
うろ ↔ ろう
えき ↔ きえ
えこ ↔ こえ
えご ↔ ごえ
えさ ↔ さえ
えし ↔ しえ
えす ↔ すえ
えず ↔ ずえ
えそ ↔ そえ
えつ ↔ つえ
えな ↔ なえ
えぴ ↔ ぴえ
えふ ↔ ふえ
えま ↔ まえ
えみ ↔ みえ
おか ↔ かお
おさ ↔ さお
おし ↔ しお
おと ↔ とお
おに ↔ にお
おね ↔ ねお
おの ↔ のお
おろ ↔ ろお
かが ↔ がか
かき ↔ きか
かけ ↔ けか
かげ ↔ げか
かこ ↔ こか
かさ ↔ さか
かし ↔ しか
かじ ↔ じか
かす ↔ すか
かそ ↔ そか
かた ↔ たか
かち ↔ ちか
かつ ↔ つか
かと ↔ とか
かな ↔ なか
かに ↔ にか
かば ↔ ばか
かひ ↔ ひか
かび ↔ びか
かふ ↔ ふか
かぶ ↔ ぶか
かま ↔ まか
かむ ↔ むか
かめ ↔ めか
かも ↔ もか
かゆ ↔ ゆか
かり ↔ りか
かわ ↔ わか
がき ↔ きが
がぎ ↔ ぎが
がけ ↔ けが
がし ↔ しが
がす ↔ すが
がむ ↔ むが
がら ↔ らが
