# UniDic 回文ペアリスト
# 総ペア数: 7,632
# 回文: 976語
# 異なる単語のペア: 6,656組

## 異なる単語の回文ペア

### 6文字 (2組)
うふふふふふ ↔ ふふふふふう
ことことこと ↔ とことことこ

### 5文字 (5組)
あわわわわ ↔ わわわわあ
いたずくり ↔ りくずたい
いたづくり ↔ りくづたい
おしくるま ↔ まるくしお
おほほほほ ↔ ほほほほお

### 4文字 (636組)
ああうう ↔ ううああ
あいから ↔ らかいあ
あいれふ ↔ ふれいあ
あかあか ↔ かあかあ
あくたい ↔ いたくあ
あしりあ ↔ ありしあ
あしーる ↔ るーしあ
あなあな ↔ なあなあ
あにばる ↔ るばにあ
あにまる ↔ るまにあ
あははは ↔ はははあ
あぷあぷ ↔ ぷあぷあ
あまあま ↔ まあまあ
あみいれ ↔ れいみあ
あもーる ↔ るーもあ
あらうほ ↔ ほうらあ
ありおく ↔ くおりあ
ありこす ↔ すこりあ
ありばば ↔ ばばりあ
ありまさ ↔ さまりあ
ありーす ↔ すーりあ
あるいわ ↔ わいるあ
あるぱか ↔ かぱるあ
あわあわ ↔ わあわあ
あーれふ ↔ ふれーあ
いあいい ↔ いいあい
いあせよ ↔ よせあい
いあらそ ↔ そらあい
いあわさ ↔ さわあい
いいあは ↔ はあいい
いいわか ↔ かわいい
いえいえ ↔ えいえい
いえくら ↔ らくえい
いえーる ↔ るーえい
いおけい ↔ いけおい
いかだい ↔ いだかい
いかちい ↔ いちかい
いかっと ↔ とっかい
いかぶり ↔ りぶかい
いがいが ↔ がいがい
いがつお ↔ おつがい
いがまう ↔ うまがい
いがーい ↔ いーがい
いがーえ ↔ えーがい
いがーお ↔ おーがい
いきいき ↔ きいきい
いきかし ↔ しかきい
いくいく ↔ くいくい
いくずし ↔ しずくい
いけいけ ↔ けいけい
いけうお ↔ おうけい
いけおき ↔ きおけい
いけがみ ↔ みがけい
いけずき ↔ きずけい
いけずみ ↔ みずけい
いけぞの ↔ のぞけい
いけぬし ↔ しぬけい
いこそう ↔ うそこい
いさおし ↔ しおさい
いさっく ↔ くっさい
いさーく ↔ くーさい
いざーど ↔ どーざい
いしいし ↔ しいしい
いしかず ↔ ずかしい
いしかっ ↔ っかしい
いしかわ ↔ わかしい
いしがに ↔ にがしい
いしがま ↔ まがしい
いしこっ ↔ っこしい
いしずま ↔ まずしい
いしとう ↔ うとしい
いしびき ↔ きびしい
いしまつ ↔ つましい
いしもと ↔ ともしい
いしやき ↔ きやしい
いしわく ↔ くわしい
いしわた ↔ たわしい
いしわだ ↔ だわしい
いしわら ↔ らわしい
いじいじ ↔ じいじい
いすくら ↔ らくすい
いずとも ↔ もとずい
いせった ↔ たっせい
いたいけ ↔ けいたい
いたかっ ↔ っかたい
いたがね ↔ ねがたい
いたくら ↔ らくたい
いたたま ↔ またたい
いたって ↔ てったい
いたはり ↔ りはたい
いたばし ↔ しばたい
いためろ ↔ ろめたい
いたらさ ↔ さらたい
いたりや ↔ やりたい
いだいけ ↔ けいだい
いだかさ ↔ さかだい
いだろふ ↔ ふろだい
いちいち ↔ ちいちい
いついつ ↔ ついつい
いつかむ ↔ むかつい
いつみの ↔ のみつい
いつろう ↔ うろつい
いでいら ↔ らいでい
いとまき ↔ きまとい
いないな ↔ ないない
いなおし ↔ しおない
いなかや ↔ やかない
いなかわ ↔ わかない
いながさ ↔ さがない
いながし ↔ しがない
いなじま ↔ まじない
いなつき ↔ きつない
いなもと ↔ ともない
いならい ↔ いらない
いならう ↔ うらない
いなーと ↔ とーない
いぬこっ ↔ っこぬい
いぬさか ↔ かさぬい
いのごは ↔ はごのい
いのしし ↔ ししのい
いののし ↔ しののい
いのまた ↔ たまのい
いのりい ↔ いりのい
いふらそ ↔ そらふい
いぶそう ↔ うそぶい
いぽいぽ ↔ ぽいぽい
いまいけ ↔ けいまい
いまうし ↔ しうまい
いまかさ ↔ さかまい
いめかふ ↔ ふかめい
いめくら ↔ らくめい
いやいや ↔ やいやい
いよいよ ↔ よいよい
いらいざ ↔ ざいらい
いらいら ↔ らいらい
いらくさ ↔ さくらい
いらたか ↔ かたらい
いらつか ↔ かつらい
いらんま ↔ まんらい
いらーく ↔ くーらい
いりずみ ↔ みずりい
いれくち ↔ ちくれい
いれんか ↔ かんれい
いれんせ ↔ せんれい
いわさき ↔ きさわい
いーあわ ↔ わあーい
いーかた ↔ たかーい
いーかわ ↔ わかーい
いーしら ↔ らしーい
いーたか ↔ かたーい
いーたっ ↔ ったーい
いーだこ ↔ こだーい
いーつき ↔ きつーい
いーわか ↔ かわーい
うおかつ ↔ つかおう
うおしま ↔ ましおう
うおます ↔ すまおう
うおまち ↔ ちまおう
うおりす ↔ すりおう
うおるく ↔ くるおう
うおるふ ↔ ふるおう
うがうが ↔ がうがう
うきたた ↔ たたきう
うごうご ↔ ごうごう
うごもつ ↔ つもごう
うごもり ↔ りもごう
うじなお ↔ おなじう
うすいた ↔ たいすう
うすいめ ↔ めいすう
うすうす ↔ すうすう
うすにく ↔ くにすう
うすやき ↔ きやすう
うすらく ↔ くらすう
うずうず ↔ ずうずう
うずまき ↔ きまずう
うそうそ ↔ そうそう
うそなき ↔ きなそう
うそぶか ↔ かぶそう
うそみな ↔ なみそう
うつうつ ↔ つうつう
うとうと ↔ とうとう
うとんじ ↔ じんとう
うとんぜ ↔ ぜんとう
うはうは ↔ はうはう
うふうふ ↔ ふうふう
うふふふ ↔ ふふふう
うふーん ↔ んーふう
うほうほ ↔ ほうほう
うまうま ↔ まうまう
うまかっ ↔ っかまう
うまがお ↔ おがまう
うまぐつ ↔ つぐまう
うまこし ↔ しこまう
うましお ↔ おしまう
うましか ↔ かしまう
うまずき ↔ きずまう
うようよ ↔ ようよう
うらあみ ↔ みあらう
うらうら ↔ らうらう
うらかた ↔ たからう
うらかべ ↔ べからう
うらさき ↔ きさらう
うらなみ ↔ みならう
うらめし ↔ しめらう
うらわか ↔ かわらう
うるうる ↔ るうるう
うろうろ ↔ ろうろう
うろつか ↔ かつろう
うろつき ↔ きつろう
うろつけ ↔ けつろう
うろぼす ↔ すぼろう
うわうわ ↔ わうわう
うわぐま ↔ まぐわう
えありす ↔ すりあえ
えあれす ↔ すれあえ
えうせよ ↔ よせうえ
えかえさ ↔ さえかえ
えかえす ↔ すえかえ
えがらく ↔ くらがえ
えばんき ↔ きんばえ
えへへへ ↔ へへへえ
えべんき ↔ きんべえ
えらびと ↔ とびらえ
えれあこ ↔ こあれえ
えーもす ↔ すもーえ
えーらく ↔ くらーえ
えーろく ↔ くろーえ
おいたつ ↔ つたいお
おがみと ↔ とみがお
おしいれ ↔ れいしお
おしおし ↔ しおしお
おしかわ ↔ わかしお
おとしさ ↔ さしとお
おのつま ↔ まつのお
おりさく ↔ くさりお
おりだし ↔ しだりお
おりなし ↔ しなりお
おーがち ↔ ちがーお
かいえき ↔ きえいか
かいつま ↔ まついか
かいりき ↔ きりいか
かいれつ ↔ つれいか
かおきき ↔ ききおか
かおらし ↔ しらおか
かさいし ↔ しいさか
かさかさ ↔ さかさか
かさつか ↔ かつさか
かさねよ ↔ よねさか
かさまし ↔ しまさか
かさまつ ↔ つまさか
かさもと ↔ ともさか
かざおと ↔ とおざか
かしかし ↔ しかしか
かしわら ↔ らわしか
かすかす ↔ すかすか
かすりと ↔ とりすか
かずかず ↔ ずかずか
かずたか ↔ かたずか
かずとも ↔ もとずか
かたかた ↔ たかたか
かたしわ ↔ わしたか
かたずみ ↔ みずたか
かたたり ↔ りたたか
かたにく ↔ くにたか
かたもと ↔ ともたか
かたらひ ↔ ひらたか
かたりな ↔ なりたか
かたーる ↔ るーたか
かちかち ↔ ちかちか
かちもと ↔ ともちか
かっかっ ↔ っかっか
かつかつ ↔ つかつか
かつずみ ↔ みずつか
かつせこ ↔ こせつか
かつとも ↔ もとつか
かつまた ↔ たまつか
かつらき ↔ きらつか
かつらぎ ↔ ぎらつか
かつわか ↔ かわつか
かどかど ↔ どかどか
かどほり ↔ りほどか
かなかな ↔ なかなか
かなくず ↔ ずくなか
かなわか ↔ かわなか
かなーと ↔ とーなか
かなーど ↔ どーなか
かぱかぱ ↔ ぱかぱか
かぴかぴ ↔ ぴかぴか
かぶかふ ↔ ふかぶか
かぶさく ↔ くさぶか
かぷかぷ ↔ ぷかぷか
かむかむ ↔ むかむか
かめざさ ↔ さざめか
かやしま ↔ ましやか
からかた ↔ たからか
からかっ ↔ っからか
からくさ ↔ さくらか
かるばら ↔ らばるか
かわーこ ↔ こーわか
かんりく ↔ くりんか
きあつま ↔ まつあき
きえいる ↔ るいえき
きえいれ ↔ れいえき
きえうつ ↔ つうえき
きえーぼ ↔ ぼーえき
きかさく ↔ くさかき
きがらし ↔ しらがき
ききみみ ↔ みみきき
きこきこ ↔ こきこき
きさいち ↔ ちいさき
きさかた ↔ たかさき
きさがす ↔ すがさき
きさらし ↔ しらさき
きざさふ ↔ ふさざき
きしかた ↔ たかしき
きしろふ ↔ ふろしき
きずかさ ↔ さかずき
きずかっ ↔ っかずき
きずかわ ↔ わかずき
きずきず ↔ ずきずき
きたおし ↔ しおたき
きたかた ↔ たかたき
